"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-01","1991","01","01","","5.5","","3.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-02","1991","01","02","","5.0","","0.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-03","1991","01","03","","4.5","","-1.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-04","1991","01","04","","2.5","","-4.5","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-05","1991","01","05","","-0.5","","-6.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-06","1991","01","06","","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","17.2","","17.2","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-07","1991","01","07","","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","22.4","","22.4","","17","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-08","1991","01","08","","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.5","E","9.8","","10.3","E","","M","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-09","1991","01","09","","2.0","","-2.0","","0.0","","18.0","","0.0","","3.2","","0.0","T","3.2","","41","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-10","1991","01","10","","5.0","","1.0","","3.0","","15.0","","0.0","","12.2","","0.0","","12.2","","28","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-11","1991","01","11","","9.5","","2.0","","5.8","","12.2","","0.0","","20.8","","0.0","","20.8","","13","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-12","1991","01","12","","11.5","","7.0","","9.3","","8.7","","0.0","","0.0","T","0.0","","0.0","T","3","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-13","1991","01","13","","9.5","","7.5","","8.5","","9.5","","0.0","","7.0","","0.0","","7.0","","","M","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-14","1991","01","14","","10.0","","6.5","","8.3","","9.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-15","1991","01","15","","10.0","","6.5","","8.3","","9.7","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-16","1991","01","16","","7.5","","6.0","","6.8","","11.2","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-17","1991","01","17","","7.5","","5.5","","6.5","","11.5","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"-123.09","49.01","DELTA TSAWWASSEN BEACH","1102425","1991-01-18","1991","01","18","","7.5","","6.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
