Year,Date,DATE,DOY,count,wesa.ratio,pred.ratio,WESA,DUNL,log.WESA,log.DUNL,pred.wesa,pred.wesa_SE,pred.dunl,pred.dunl_SE
1991,,,105,,,0.025231033,,,,,4.696806516,0.295313369,8.217136824,0.242699316
1991,,,106,,,0.048787548,,,,,5.654687045,0.233666414,8.488844806,0.193878348
1991,,,107,,,0.08893434,,,,,6.542691954,0.184246191,8.73173918,0.154996755
1991,,,108,,,0.151422342,,,,,7.360821243,0.145315233,8.945819946,0.124596088
1991,,,109,,,0.238562173,,,,,8.109074912,0.115273141,9.131087104,0.101336745
1991,,,110,,,0.345701901,,,,,8.78745296,0.092656584,9.287540653,0.083997968
1991,,,111,,,0.461150554,,,,,9.395955388,0.076139303,9.415180594,0.071477841
1991,1991-04-22,1991/4/22,112,23000,,0.571076637,13135,9865,9.483093763,9.196873839,9.934582197,0.064532105,9.514006928,0.062793299
1991,,,113,,,0.665496083,,,,,10.40333338,0.056782867,9.584019653,0.057080116
1991,,,114,,,0.740622283,,,,,10.80220895,0.051976534,9.625218769,0.053592914
1991,,,115,,,0.797413892,,,,,11.1312089,0.049335122,9.637604278,0.051705159
1991,,,116,,,0.839011908,,,,,11.39033323,0.048217714,9.621176178,0.050909162
1991,,,117,,,0.8688994,,,,,11.57958194,0.048120462,9.57593447,0.050816081
1991,,,118,,,0.890055927,,,,,11.69895502,0.048676588,9.501879154,0.051155914
1991,,,119,,,0.90474062,,,,,11.74845249,0.049656382,9.39901023,0.051777509
1991,,,120,,,0.914546766,,,,,11.72807434,0.050967203,9.267327698,0.052648556
1991,,,121,,,0.920528984,,,,,11.63782057,0.05265348,9.106831557,0.05385559
1991,1991-05-02,1991/5/2,122,83100,,0.923320009,76728,6372,11.24803361,8.759842423,11.47769117,0.054896709,8.917521809,0.055603993
1991,1991-05-03,1991/5/3,123,60000,,0.92321099,55393,4607,10.92222042,8.435623109,11.24768616,0.058015456,8.699398452,0.058217989
1991,,,124,,,0.920190611,,,,,10.94780553,0.062465356,8.452461486,0.06214065
1991,1991-05-05,1991/5/5,125,40000,,0.913943549,36558,3442,10.50667561,8.144173408,10.57804927,0.068839112,8.176710913,0.067933889
1991,1991-05-06,1991/5/6,126,33000,,0.90380821,29826,3174,10.30315827,8.063166553,10.1384174,0.077866498,7.872146732,0.076278469
1991,1991-05-07,1991/5/7,127,23000,,0.88869335,20440,2560,9.925295377,7.84817376,9.628909908,0.090414355,7.538768942,0.087973993
1991,1991-05-08,1991/5/8,128,14000,,0.866959137,12137,1863,9.40413156,7.530250401,9.049526795,0.107486592,7.176577544,0.103938912
1991,1991-05-09,1991/5/9,129,12000,,0.836291527,10035,1965,9.21398356,7.583502799,8.400268061,0.13022419,6.785572538,0.12521052
1991,1991-05-10,1991/5/10,130,5400,,0.79365949,4286,1114,8.363286772,7.016823792,7.681133707,0.159905196,6.365753924,0.152944958
1991,1991-05-11,1991/5/11,131,300,,0.735565438,221,79,5.401188127,4.386147739,6.892123734,0.197944728,5.917121701,0.18841721
1991,,,132,,,0.658956356,,,,,6.03323814,0.245894971,5.43967587,0.233021105
1991,,,133,,,0.563143626,,,,,5.104476926,0.305445181,4.933416432,0.288269319
1991,,,134,,,0.452368828,,,,,4.105840092,0.378421681,4.398343385,0.355793371
1991,,,135,,,0.337052664,,,,,3.037327638,0.466787863,3.834456729,0.437343625
1992,,,105,,,0.025231033,,,,,4.473329988,0.289539336,8.151781052,0.236705003
1992,,,106,,,0.048787548,,,,,5.49121532,0.227932342,8.476215459,0.187969688
1992,,,107,,,0.08893434,,,,,6.432186024,0.17855121,8.764798574,0.149169774
1992,,,108,,,0.151422342,,,,,7.296242101,0.139658471,9.017530396,0.118846814
1992,,,109,,,0.238562173,,,,,8.08338355,0.109653728,9.234410925,0.095661205
1992,,,110,,,0.345701901,,,,,8.793610372,0.087073649,9.415440162,0.078392188
1992,,,111,,,0.461150554,,,,,9.426922566,0.070591975,9.560618106,0.065937849
1992,,,112,,,0.571076637,,,,,9.983320132,0.059019513,9.669944757,0.057315121
1992,1992-04-22,1992/4/22,113,24500,,0.665496083,16305,8195,9.6992672,9.01144372,10.46280307,0.05130414,9.743420116,0.05165978
1992,,,114,,,0.740622283,,,,,10.86537138,0.046530802,9.781044182,0.048226447
1992,1992-04-24,1992/4/24,115,80200,,0.797413892,63953,16247,11.06591301,9.69575008,11.19102506,0.043921513,9.782816956,0.046388588
1992,,,116,,,0.839011908,,,,,11.43976412,0.042835358,9.748738437,0.045638515
1992,,,117,,,0.8688994,,,,,11.61158855,0.042768488,9.678808625,0.045587384
1992,,,118,,,0.890055927,,,,,11.70649835,0.043354125,9.57302752,0.045965194
1992,,,119,,,0.90474062,,,,,11.72449352,0.04436256,9.431395123,0.046620793
1992,1992-04-29,1992/4/29,120,923500,,0.914546766,844584,78916,13.64660059,11.27615273,11.66557406,0.04570115,9.253911433,0.047521872
1992,,,121,,,0.920528984,,,,,11.52973998,0.047414325,9.040576451,0.048754965
1992,1992-05-01,1992/5/1,122,30500,,0.923320009,28161,2339,10.24573807,7.757794972,11.31699127,0.049683582,8.791390176,0.050525453
1992,,,123,,,0.92321099,,,,,11.02732793,0.052827486,8.506352608,0.053157562
1992,,,124,,,0.920190611,,,,,10.66074997,0.057301672,8.185463748,0.057094362
1992,1992-05-04,1992/5/4,125,22430,,0.913943549,20500,1930,9.928216935,7.565920772,10.21725737,0.063698844,7.828723595,0.062897768
1992,,,126,,,0.90380821,,,,,9.696850152,0.072748774,7.436132149,0.071248542
1992,,,127,,,0.88869335,,,,,9.099528303,0.085318303,7.007689411,0.082946287
1992,,,128,,,0.866959137,,,,,8.425291827,0.102411344,6.54339538,0.098909453
1992,1992-05-08,1992/5/8,129,2700,,0.836291527,2258,442,7.722671816,6.093598839,7.674140722,0.125168873,6.043250057,0.120175337
1992,,,130,,,0.79365949,,,,,6.846074991,0.15486894,5.50725344,0.147900077
1992,,,131,,,0.735565438,,,,,5.941094631,0.192926662,4.935405532,0.183358658
1992,,,132,,,0.658956356,,,,,4.959199644,0.240894224,4.32770633,0.227944909
1992,1992-05-12,1992/5/12,133,85,,0.563143626,48,37,3.889106583,3.641074589,3.900390029,0.300460882,3.684155836,0.283171507
1992,,,134,,,0.452368828,,,,,2.764665786,0.373452959,3.004754049,0.350669969
1992,,,135,,,0.337052664,,,,,1.552026916,0.461833849,2.28950097,0.43219066
1994,,,105,,,0.025231033,,,,,5.002366797,0.279226356,8.18846059,0.225929525
1994,,,106,,,0.048787548,,,,,6.050822792,0.217699285,8.627860336,0.177365514
1994,,,107,,,0.08893434,,,,,7.024180216,0.168396334,9.027222914,0.138728959
1994,,,108,,,0.151422342,,,,,7.92243907,0.129580034,9.386548326,0.108561413
1994,,,109,,,0.238562173,,,,,8.745599354,0.099649988,9.70583657,0.085523271
1994,1994-04-20,1994/4/20,110,75000,,0.345701901,25928,49072,10.16310353,10.80107155,9.493661068,0.077142866,9.985087647,0.068393775
1994,,,111,,,0.461150554,,,,,10.16662421,0.060732406,10.22430156,0.056071012
1994,1994-04-22,1994/4/22,112,250000,,0.571076637,142769,107231,11.86899134,11.58274851,10.76448878,0.049229416,10.4234783,0.047571914
1994,,,113,,,0.665496083,,,,,11.28725479,0.041581774,10.58261787,0.042032257
1994,,,114,,,0.740622283,,,,,11.73492222,0.036874425,10.70172028,0.038706662
1994,1994-04-25,1994/4/25,115,20000,,0.797413892,15948,4052,9.677168831,8.307144071,12.10749108,0.034329384,10.78078552,0.036968595
1994,1994-04-26,1994/4/26,116,820000,,0.839011908,687990,132010,13.44153069,11.79064231,12.40496137,0.033305734,10.8198136,0.036310368
1994,,,117,,,0.8688994,,,,,12.6273331,0.033299628,10.8188045,0.036343137
1994,1994-04-28,1994/4/28,118,500000,,0.890055927,445028,54972,13.00589465,10.9145981,12.77460625,0.033944287,10.77775824,0.036796902
1994,,,119,,,0.90474062,,,,,12.84678083,0.035010002,10.69667481,0.03752051
1994,1994-04-30,1994/4/30,120,500000,,0.914546766,457273,42727,13.03303889,10.66260076,12.84385684,0.036404132,10.57555422,0.038481651
1994,,,121,,,0.920528984,,,,,12.76583428,0.038171104,10.41439645,0.039766861
1994,1994-05-02,1994/5/2,122,490000,,0.923320009,452427,37573,13.02238348,10.5340728,12.61271315,0.040492416,10.21320152,0.04158152
1994,,,123,,,0.92321099,,,,,12.38449345,0.043686633,9.971969424,0.044249855
1994,1994-05-04,1994/5/4,124,1125000,,0.920190611,1035214,89786,13.85012012,11.4051906,12.08117518,0.048209391,9.690700159,0.048214934
